,SiteID,x,y
0,76HB 03000,-114.29727799999995,46.76053790000003
1,39E 09000,-104.16897999999998,45.83939000000004
2,76F 05200,-113.38085999999998,46.968630000000076
3,40J 09100,-109.73279699999995,48.41521700000004
4,41A 11645,-112.12305999999995,44.678360000000055
5,43BV 05000,-109.84181329999996,46.05682050000007
6,41D 07700,-113.11761999999999,45.88366000000008
7,43B 05950,-110.58718399999998,45.33535000000006
8,41I 02400,-111.76768799999996,46.577397000000076
9,41O 02000,-112.49237599999998,47.877894000000026
10,43BJ 05800,-110.12602999999996,45.614720000000034
11,41O 07800,-111.71462999999994,47.927670000000035
12,41U 05900,-112.21882999999997,47.16119000000003
13,41A 03000,-112.61999999999995,44.680000000000064
14,76E 4000,-113.48549199999997,46.19336100000004
15,76M 01100,-113.97448099999997,46.87929100000008
16,42C 10200,-105.81037999999995,46.39835000000005
17,42M 273754,-104.29295999999994,47.586734000000035
18,43E 09000,-108.30329999999998,45.881500000000074
19,41D 08800,-112.57984999999996,45.435470000000066
20,43B 89500,-110.63419999999996,45.069330000000036
21,41O 04973,-112.1753,47.81317000000007
22,43A 09250,-110.58231999999998,46.15516000000008
23,40A 7000,-110.15269999999998,46.44380000000007
24,40F 01100,-113.20015999999998,48.91686000000004
25,41U 01000,-112.48260999999997,47.28076000000004
26,41K 09900,-111.71064999999999,47.54478400000005
27,41H 1500,-110.95659999999998,45.46220000000005
28,76G 03100,-112.91878999999994,46.27879000000007
29,43B 09510,-110.76917299999997,45.562673000000075
30,76GJ 8000,-113.22969999999998,46.52920000000006
31,40A 14000,-109.26820999999995,46.363060000000075
32,41S 11750,-109.41948999999994,47.05184000000003
33,41S 08900,-109.67642699999999,47.28144100000003
34,41C 04900,-112.12035499999996,45.320020000000056
35,41I 1500,-111.40457999999995,46.119920000000036
36,41D 07870,-112.96291999999994,45.764230000000055
37,43B 04050,-110.69491999999997,45.41220000000004
38,41O 03001,-112.26586299999997,47.861567000000036
39,76HB 09500,-114.15476299999995,46.74296300000003
40,76HB 01000,-114.52856499999996,46.73351400000007
41,SR 004,-111.8861111,47.516111100000046
42,43BJ 09000,-109.98819999999995,45.757960000000026
43,76F 03500,-113.02624499999996,47.02033000000006
44,42KJ 01050,-107.31708899999995,46.25082800000007
45,41D 06870,-113.36266999999998,45.60145000000006
46,41E 33800,-111.88839999999999,45.97551000000004
47,43BV 09000,-109.78299999999996,45.789000000000044
48,41A 04500,-111.60881999999998,44.61343000000005
49,76E 2100,-113.3868,46.134100000000046
50,76LJ 005,-114.13629999999995,48.27690000000007
51,41O 04890,-112.20411099999995,47.76938530000007
52,76LJ 002,-114.13186999999999,48.24702000000008
53,40S 01850,-106.40909999999997,48.051300000000026
54,43A 08100,-110.62295999999998,46.110160000000064
55,40A 9000,-109.40039999999999,46.33920000000006
56,41A 07000,-112.74999999999994,44.80000000000007
57,41O 04970,-112.17990099999997,47.81291600000003
58,41S 11805,-109.46115999999995,47.09305000000006
59,41J 09000,-111.05790999999999,46.59115000000003
60,41H 08950,-111.02041599999995,45.57908200000003
61,41O 04992,-112.17899999999997,47.80070000000006
62,41D 06550,-113.68548999999996,45.40849000000003
63,41L 04500,-112.93399999999997,48.669020000000046
64,76H 1200,-114.30484899999999,45.66830600000003
65,40A 3000,-110.41799999999995,46.53590000000003
66,41A 11600,-112.11027999999999,44.73509000000007
67,41C 08000,-112.25738999999999,45.43402000000003
68,76F 2100,-112.85291999999998,46.81644000000006
69,41J 01800,-110.63019999999995,46.70634000000007
70,41B 16400,-112.69580999999994,45.16317000000004
71,43B 09800,-110.58812799999998,45.57449500000007
72,41S 11400,-109.34383999999994,47.00296000000003
73,43B 05000,-110.70023999999995,45.403850000000034
74,43BV 02000,-110.11255599999998,46.16468900000007
