,Date,RecordedValue,SiteID
1189,2019-05-09,81.73814727,41I 03500
1190,2019-05-10,78.49833187,41I 03500
1191,2019-05-11,78.2274146,41I 03500
1192,2019-05-12,91.167661,41I 03500
1193,2019-05-13,115.46043772,41I 03500
1194,2019-05-14,134.55613913,41I 03500
1195,2019-05-15,149.19889055,41I 03500
1196,2019-05-16,150.527455,41I 03500
1197,2019-05-17,147.86674021,41I 03500
1198,2019-05-18,145.50852916,41I 03500
1199,2019-05-19,137.7292435,41I 03500
1200,2019-05-20,127.54827784,41I 03500
1201,2019-05-21,119.7756303,41I 03500
1202,2019-05-22,113.54144902,41I 03500
1203,2019-05-23,107.19789872,41I 03500
1204,2019-05-24,100.97344315,41I 03500
1205,2019-05-25,96.27835636,41I 03500
1206,2019-05-26,93.70655811,41I 03500
1207,2019-05-27,101.93544551,41I 03500
1208,2019-05-28,105.95992287,41I 03500
1209,2019-05-29,109.73640342,41I 03500
1210,2019-05-30,113.87924577,41I 03500
1211,2019-05-31,118.62822396,41I 03500
1212,2019-06-01,120.18846813,41I 03500
1213,2019-06-02,124.1879058,41I 03500
1214,2019-06-03,129.49115301,41I 03500
0,2019-06-04,132.80853473,41I 03500
1,2019-06-05,128.84503537,41I 03500
2,2019-06-06,123.50126166,41I 03500
3,2019-06-07,124.10900599,41I 03500
4,2019-06-08,115.73395929,41I 03500
5,2019-06-09,106.65796957,41I 03500
6,2019-06-10,96.35752689,41I 03500
7,2019-06-11,84.90170236,41I 03500
8,2019-06-12,80.66901584,41I 03500
9,2019-06-13,79.07584415,41I 03500
10,2019-06-14,81.59214389,41I 03500
11,2019-06-15,81.39723124,41I 03500
12,2019-06-16,75.42376553,41I 03500
13,2019-06-17,71.35236192,41I 03500
14,2019-06-18,67.30715756,41I 03500
15,2019-06-19,67.23929166,41I 03500
16,2019-06-20,68.43707178,41I 03500
17,2019-06-21,68.59698127,41I 03500
18,2019-06-22,67.26567972,41I 03500
19,2019-06-23,62.6481376,41I 03500
20,2019-06-24,62.04309639,41I 03500
21,2019-06-25,53.11582176,41I 03500
22,2019-06-26,50.2001386,41I 03500
23,2019-06-27,48.72934152,41I 03500
24,2019-06-28,48.72591868,41I 03500
25,2019-06-29,46.79178946,41I 03500
26,2019-06-30,43.67912978,41I 03500
27,2019-07-01,40.05474714,41I 03500
28,2019-07-02,35.65207142,41I 03500
29,2019-07-03,41.55515428,41I 03500
30,2019-07-04,41.97657283,41I 03500
31,2019-07-05,39.33916874,41I 03500
32,2019-07-06,38.4883502,41I 03500
33,2019-07-07,37.08514858,41I 03500
34,2019-07-08,36.16234524,41I 03500
35,2019-07-09,36.66666271,41I 03500
36,2019-07-10,36.92622483,41I 03500
37,2019-07-11,35.05122609,41I 03500
38,2019-07-12,34.50255723,41I 03500
39,2019-07-13,34.90905436,41I 03500
40,2019-07-14,35.39892063,41I 03500
41,2019-07-15,38.1720076,41I 03500
42,2019-07-16,37.57300351,41I 03500
43,2019-07-17,37.15307787,41I 03500
44,2019-07-18,36.13123472,41I 03500
45,2019-07-19,33.22410693,41I 03500
46,2019-07-20,31.49812981,41I 03500
47,2019-07-21,29.60080707,41I 03500
48,2019-07-22,21.88000583,41I 03500
49,2019-07-23,15.59865795,41I 03500
50,2019-07-24,15.40385164,41I 03500
51,2019-07-25,12.34941763,41I 03500
52,2019-07-26,11.29282764,41I 03500
53,2019-07-27,11.66204084,41I 03500
54,2019-07-28,10.50913314,41I 03500
55,2019-07-29,10.91806956,41I 03500
56,2019-07-30,11.83140473,41I 03500
57,2019-07-31,11.14868179,41I 03500
58,2019-08-01,8.22532731,41I 03500
59,2019-08-02,8.90749972,41I 03500
60,2019-08-03,11.67140869,41I 03500
61,2019-08-04,10.54953661,41I 03500
62,2019-08-05,8.66510118,41I 03500
63,2019-08-06,7.83932812,41I 03500
64,2019-08-07,7.76040764,41I 03500
65,2019-08-08,10.38265818,41I 03500
66,2019-08-09,9.83555932,41I 03500
67,2019-08-10,11.3879336,41I 03500
68,2019-08-11,16.8642189,41I 03500
69,2019-08-12,17.5041985,41I 03500
70,2019-08-13,14.50722361,41I 03500
71,2019-08-14,13.12240926,41I 03500
72,2019-08-15,12.66408362,41I 03500
73,2019-08-16,11.89985569,41I 03500
74,2019-08-17,11.54653791,41I 03500
75,2019-08-18,12.24829849,41I 03500
76,2019-08-19,11.86357723,41I 03500
77,2019-08-20,11.15339682,41I 03500
78,2019-08-21,9.79914814,41I 03500
79,2019-08-22,9.84415002,41I 03500
80,2019-08-23,12.15721069,41I 03500
81,2019-08-24,11.90153042,41I 03500
82,2019-08-25,10.6693279,41I 03500
83,2019-08-26,11.93580549,41I 03500
84,2019-08-27,12.78712726,41I 03500
85,2019-08-28,11.39550989,41I 03500
86,2019-08-29,10.96793664,41I 03500
87,2019-08-30,10.40530435,41I 03500
88,2019-08-31,10.4807192,41I 03500
89,2019-09-01,10.45152149,41I 03500
90,2019-09-02,8.55764626,41I 03500
91,2019-09-03,7.90261603,41I 03500
92,2019-09-04,7.70038061,41I 03500
93,2019-09-05,6.86738672,41I 03500
94,2019-09-06,8.36804212,41I 03500
95,2019-09-07,11.34087558,41I 03500
96,2019-09-08,12.63217811,41I 03500
97,2019-09-09,15.3987975,41I 03500
98,2019-09-10,15.50907942,41I 03500
99,2019-09-11,16.58485349,41I 03500
100,2019-09-12,17.46277645,41I 03500
101,2019-09-13,15.12226,41I 03500
102,2019-09-14,14.5805956,41I 03500
103,2019-09-15,13.9257614,41I 03500
104,2019-09-16,13.35045173,41I 03500
105,2019-09-17,13.31482228,41I 03500
106,2019-09-18,13.58451919,41I 03500
107,2019-09-19,13.32147998,41I 03500
108,2019-09-20,13.09600339,41I 03500
109,2019-09-21,15.39448469,41I 03500
110,2019-09-22,16.48492233,41I 03500
111,2019-09-23,14.85492674,41I 03500
112,2019-09-24,14.21874949,41I 03500
113,2019-09-25,13.83944423,41I 03500
114,2019-09-26,14.46246,41I 03500
115,2019-09-27,15.02054178,41I 03500
116,2019-09-28,15.60516975,41I 03500
117,2019-09-29,16.38078188,41I 03500
118,2019-09-30,16.05997362,41I 03500
119,2019-10-01,15.65624461,41I 03500
120,2019-10-02,15.32548776,41I 03500
121,2019-10-03,15.15048562,41I 03500
122,2019-10-04,15.11905677,41I 03500
123,2019-10-05,15.03469246,41I 03500
124,2019-10-06,15.13473754,41I 03500
125,2019-10-07,14.87020779,41I 03500
126,2019-10-08,14.55134469,41I 03500
127,2019-10-09,16.35033834,41I 03500
128,2019-10-10,15.52627213,41I 03500
129,2019-10-11,15.18708496,41I 03500
130,2019-10-12,15.55516714,41I 03500
131,2019-10-13,15.6295467,41I 03500
132,2019-10-14,13.65552558,41I 03500
133,2019-10-15,12.41226887,41I 03500
134,2019-10-16,12.14505356,41I 03500
135,2019-10-17,11.9918883,41I 03500
136,2019-10-18,12.1633079,41I 03500
137,2019-10-19,12.16513512,41I 03500
138,2019-10-20,14.05719205,41I 03500
139,2019-10-21,15.35711425,41I 03500
140,2019-10-22,15.00313059,41I 03500
141,2019-10-23,16.13674608,41I 03500
142,2019-10-24,15.57756992,41I 03500
143,2019-10-25,14.64810964,41I 03500
144,2019-10-26,15.16658548,41I 03500
145,2019-10-27,15.09392527,41I 03500
1219,2019-12-29,,41I 03500
146,2020-03-02,10.18003654,41I 03500
147,2020-03-03,10.50335751,41I 03500
148,2020-03-04,11.04784505,41I 03500
149,2020-03-05,10.70816339,41I 03500
150,2020-03-06,11.07170236,41I 03500
151,2020-03-07,14.81941553,41I 03500
152,2020-03-08,18.18571107,41I 03500
153,2020-03-09,15.59146223,41I 03500
154,2020-03-10,17.46202731,41I 03500
155,2020-03-11,16.33408487,41I 03500
156,2020-03-12,16.16916226,41I 03500
157,2020-03-13,15.40925059,41I 03500
158,2020-03-14,28.55894714,41I 03500
159,2020-03-15,38.52708447,41I 03500
160,2020-03-16,25.47913306,41I 03500
161,2020-03-17,20.71922361,41I 03500
162,2020-03-18,16.04177869,41I 03500
163,2020-03-19,15.12683186,41I 03500
164,2020-03-20,14.8437204,41I 03500
165,2020-03-21,13.43173382,41I 03500
166,2020-03-22,13.73198482,41I 03500
167,2020-03-23,13.83681796,41I 03500
168,2020-03-24,14.48265315,41I 03500
169,2020-03-25,14.71137926,41I 03500
170,2020-03-26,14.47619038,41I 03500
171,2020-03-27,14.10327803,41I 03500
172,2020-03-28,14.12791171,41I 03500
173,2020-03-29,14.1251705,41I 03500
174,2020-03-30,14.86768614,41I 03500
175,2020-03-31,17.00630693,41I 03500
176,2020-04-01,17.60906795,41I 03500
177,2020-04-02,16.71060335,41I 03500
